Timestamp,Zone,Tilt_deg,GNSS_disp_mm,PorePressure_kPa,SoilMoisture_pct,Rainfall_mm_per_hr,SeismicEnergy_J,Event_Label
2025-08-01 00:00:00,A1,0.0387,0.0,17.439,8.777,0.0,0.027061,0
2025-08-01 01:00:00,A1,0.0459,0.0,18.756,8.357,0.0,0.007335,0
2025-08-01 02:00:00,A1,0.0581,0.165,18.608,9.087,0.0,0.005832,0
2025-08-01 03:00:00,A1,0.0603,0.464,18.38,8.889,0.0,0.016259,0
2025-08-01 04:00:00,A1,0.0538,0.359,17.989,9.041,0.0,0.010094,0
2025-08-01 05:00:00,A1,0.0636,0.22,17.459,9.577,0.0,0.018575,0
2025-08-01 06:00:00,A1,0.0574,0.577,17.703,8.989,0.0,0.006016,0
2025-08-01 07:00:00,A1,0.0778,0.129,17.954,8.597,0.0,0.003715,0
2025-08-01 08:00:00,A1,0.0757,0.0,17.721,8.77,0.0,0.021566,0
2025-08-01 09:00:00,A1,0.0456,0.0,18.889,9.692,0.0,0.02907,0
2025-08-01 10:00:00,A1,0.059,1.039,18.094,9.194,0.0,0.018244,0
2025-08-01 11:00:00,A1,0.0611,0.0,18.399,9.224,0.0,0.032838,0
2025-08-01 12:00:00,A1,0.0428,0.878,18.045,10.562,0.203,0.022152,0
2025-08-01 13:00:00,A1,0.0503,0.015,17.258,9.557,0.316,0.029386,0
2025-08-01 14:00:00,A1,0.0403,0.544,18.56,10.419,0.539,0.005899,0
2025-08-01 15:00:00,A1,0.0415,0.651,18.981,11.11,0.827,0.026627,0
2025-08-01 16:00:00,A1,0.0432,0.304,18.992,10.354,1.154,0.006689,0
2025-08-01 17:00:00,A1,0.0406,0.025,21.927,12.319,1.496,0.027529,0
2025-08-01 18:00:00,A1,0.0267,0.348,23.955,11.765,1.829,0.017646,0
2025-08-01 19:00:00,A1,0.0273,0.654,24.788,13.576,2.133,0.017021,0
2025-08-01 20:00:00,A1,0.0283,0.622,27.254,14.796,2.389,0.015168,0
2025-08-01 21:00:00,A1,0.0237,0.356,28.078,16.449,2.584,0.011271,0
2025-08-01 22:00:00,A1,0.0485,1.269,29.92,17.193,2.706,0.00826,0
2025-08-01 23:00:00,A1,0.0463,0.571,32.346,18.681,2.747,0.021987,0
2025-08-02 00:00:00,A1,0.0387,0.0,34.407,19.249,2.706,0.014417,0
2025-08-02 01:00:00,A1,0.0695,0.308,36.799,18.893,2.584,0.010281,0
2025-08-02 02:00:00,A1,0.0407,0.669,37.215,21.379,2.389,0.009542,0
2025-08-02 03:00:00,A1,0.0481,0.385,40.134,21.71,2.133,0.00649,0
2025-08-02 04:00:00,A1,0.0659,0.42,40.77,20.639,1.829,0.003394,0
2025-08-02 05:00:00,A1,0.0831,0.648,40.478,21.545,1.496,0.009855,0
2025-08-02 06:00:00,A1,0.0798,1.247,42.259,21.716,1.154,0.014345,0
2025-08-02 07:00:00,A1,0.0977,0.0,40.791,20.809,0.827,0.014349,0
2025-08-02 08:00:00,A1,0.0755,0.696,40.623,20.153,0.539,0.018819,0
2025-08-02 09:00:00,A1,0.072,0.27,41.436,20.031,0.316,0.016705,0
2025-08-02 10:00:00,A1,0.064,0.166,39.906,18.51,0.203,0.028046,0
2025-08-02 11:00:00,A1,0.0244,0.574,39.955,16.808,0.0,0.025822,0
2025-08-02 12:00:00,A1,0.0414,0.423,38.992,17.843,0.0,0.014629,0
2025-08-02 13:00:00,A1,0.047,0.752,39.865,16.325,0.0,0.007978,0
2025-08-02 14:00:00,A1,0.0421,0.792,38.365,16.249,0.0,0.021523,0
2025-08-02 15:00:00,A1,0.0593,0.738,38.197,15.366,0.0,0.000147,0
2025-08-02 16:00:00,A1,0.032,0.0,37.261,15.501,0.0,0.028141,0
2025-08-02 17:00:00,A1,0.0501,0.882,37.412,14.626,0.0,0.026633,0
2025-08-02 18:00:00,A1,0.0365,0.732,36.749,14.391,0.0,0.013212,0
2025-08-02 19:00:00,A1,0.0548,0.32,35.306,13.891,0.0,0.03719,0
2025-08-02 20:00:00,A1,0.0624,0.428,36.311,13.69,0.0,0.025829,0
2025-08-02 21:00:00,A1,0.0558,0.993,35.713,12.059,0.0,0.047894,0
2025-08-02 22:00:00,A1,0.06,0.625,34.541,13.18,0.0,2.5e-05,0
2025-08-02 23:00:00,A1,0.054,0.369,33.918,12.491,0.0,0.049462,0
2025-08-03 00:00:00,A1,0.0455,0.417,33.322,12.446,0.0,0.033342,0
2025-08-03 01:00:00,A1,0.0849,0.927,33.901,11.817,0.0,0.037802,0
2025-08-03 02:00:00,A1,0.0787,0.358,33.71,11.242,0.0,0.011892,0
2025-08-03 03:00:00,A1,0.0641,0.688,33.25,11.851,0.0,0.013604,0
2025-08-03 04:00:00,A1,0.0875,1.219,32.82,11.398,0.0,0.018333,0
2025-08-03 05:00:00,A1,0.0767,0.443,31.833,10.975,0.0,0.044073,0
2025-08-03 06:00:00,A1,0.096,0.033,31.157,10.555,0.0,0.009763,0
2025-08-03 07:00:00,A1,0.0865,0.302,31.971,10.908,0.0,0.019584,0
2025-08-03 08:00:00,A1,0.0663,0.074,31.314,10.382,0.0,0.034159,0
2025-08-03 09:00:00,A1,0.0868,1.128,31.563,11.643,0.0,0.01046,0
2025-08-03 10:00:00,A1,0.0806,0.761,30.78,10.8,0.0,0.020241,0
2025-08-03 11:00:00,A1,0.0797,0.627,30.581,10.598,0.0,0.013253,0
2025-08-03 12:00:00,A1,0.0486,0.384,29.845,9.379,0.0,0.022327,0
2025-08-03 13:00:00,A1,0.0748,0.438,30.055,10.385,0.0,0.031361,0
2025-08-03 14:00:00,A1,0.0532,0.763,28.761,10.191,0.0,0.016872,0
2025-08-03 15:00:00,A1,0.0524,0.387,29.072,9.241,0.0,0.029041,0
2025-08-03 16:00:00,A1,0.061,0.739,29.22,8.933,0.0,0.006793,0
2025-08-03 17:00:00,A1,0.0424,1.02,27.715,9.956,0.0,0.007857,0
2025-08-03 18:00:00,A1,0.0663,0.667,27.562,9.855,0.0,0.026177,0
2025-08-03 19:00:00,A1,0.0723,1.194,28.504,9.028,0.0,0.043926,0
2025-08-03 20:00:00,A1,0.0465,0.874,26.972,9.547,0.0,0.036497,0
2025-08-03 21:00:00,A1,0.052,0.483,26.72,9.6,0.0,0.013487,0
2025-08-03 22:00:00,A1,0.0543,0.816,26.403,9.992,0.0,0.031081,0
2025-08-03 23:00:00,A1,0.063,1.067,28.481,9.948,0.586,0.036595,0
2025-08-04 00:00:00,A1,0.0756,0.847,28.022,10.413,0.711,0.018468,0
2025-08-04 01:00:00,A1,0.0843,0.503,27.925,10.309,0.962,0.024151,0
2025-08-04 02:00:00,A1,0.0787,0.971,29.282,11.354,1.3,0.01685,0
2025-08-04 03:00:00,A1,0.0951,0.584,31.001,12.605,1.704,0.005622,0
2025-08-04 04:00:00,A1,0.0922,0.727,31.472,12.964,2.161,0.024061,0
2025-08-04 05:00:00,A1,0.0946,0.617,33.147,15.472,2.656,0.003325,0
2025-08-04 06:00:00,A1,0.0963,0.88,36.551,16.161,3.178,0.004209,0
2025-08-04 07:00:00,A1,0.1037,0.906,39.082,17.854,3.715,0.027901,0
2025-08-04 08:00:00,A1,0.0989,0.461,42.092,19.06,4.256,0.01751,0
2025-08-04 09:00:00,A1,0.0918,0.894,45.844,22.303,4.792,0.006035,0
2025-08-04 10:00:00,A1,0.087,1.438,47.81,24.785,5.31,0.004216,0
2025-08-04 11:00:00,A1,0.0834,0.984,52.964,27.737,5.803,0.045397,0
2025-08-04 12:00:00,A1,0.08,1.5,57.541,30.357,6.26,0.027455,0
2025-08-04 13:00:00,A1,0.0906,0.836,62.709,32.599,6.674,0.017235,0
2025-08-04 14:00:00,A1,0.0703,0.207,68.079,35.123,7.037,0.032792,0
2025-08-04 15:00:00,A1,0.0566,1.994,72.615,38.068,7.344,0.004626,0
2025-08-04 16:00:00,A1,0.0654,1.378,77.917,40.906,7.587,0.006294,0
2025-08-04 17:00:00,A1,0.0627,0.29,81.491,43.39,7.765,0.030872,0
2025-08-04 18:00:00,A1,0.0701,0.729,87.63,45.049,7.872,0.006089,0
2025-08-04 19:00:00,A1,0.0604,1.24,92.171,47.365,7.908,0.009596,0
2025-08-04 20:00:00,A1,0.0616,1.196,96.167,49.587,7.872,0.005905,0
2025-08-04 21:00:00,A1,0.0523,1.006,102.068,50.973,7.765,0.027151,0
2025-08-04 22:00:00,A1,0.0949,0.802,106.455,53.535,7.587,0.04165,0
2025-08-04 23:00:00,A1,0.0756,1.665,110.47,54.242,7.344,0.012043,0
2025-08-05 00:00:00,A1,0.0937,1.127,113.323,54.934,7.037,0.007846,0
2025-08-05 01:00:00,A1,0.1036,1.293,118.914,56.183,6.674,0.027664,0
2025-08-05 02:00:00,A1,0.0898,1.166,121.051,56.86,6.26,0.025818,0
2025-08-05 03:00:00,A1,0.1068,1.204,124.075,56.375,5.803,0.018669,0
2025-08-05 04:00:00,A1,0.118,1.45,124.122,55.087,5.31,0.007984,0
2025-08-05 05:00:00,A1,0.1287,0.102,127.533,55.361,4.792,0.00056,0
2025-08-05 06:00:00,A1,0.1238,1.224,127.023,54.272,4.256,0.025198,0
2025-08-05 07:00:00,A1,0.0924,1.498,127.646,52.961,3.715,0.01287,0
2025-08-05 08:00:00,A1,0.1048,1.619,128.08,51.578,3.178,0.024004,0
2025-08-05 09:00:00,A1,0.1041,1.002,126.706,49.406,2.656,0.025518,0
2025-08-05 10:00:00,A1,0.1325,0.616,126.861,47.666,2.161,0.021414,0
2025-08-05 11:00:00,A1,0.0934,1.504,124.727,45.844,1.704,0.040207,0
2025-08-05 12:00:00,A1,0.123,1.25,124.249,43.875,1.3,0.016665,0
2025-08-05 13:00:00,A1,0.0978,1.57,122.317,41.577,0.962,0.022882,0
2025-08-05 14:00:00,A1,0.0856,0.905,118.989,39.772,0.711,0.009645,0
2025-08-05 15:00:00,A1,0.0772,1.198,117.477,37.762,0.586,0.003774,0
2025-08-05 16:00:00,A1,0.0997,1.124,116.313,36.089,0.0,0.000152,0
2025-08-05 17:00:00,A1,0.0787,0.881,113.784,33.477,0.0,0.010243,0
2025-08-05 18:00:00,A1,0.0848,1.539,110.572,30.525,0.0,0.013195,0
2025-08-05 19:00:00,A1,0.0797,0.809,108.585,29.121,0.0,0.006199,0
2025-08-05 20:00:00,A1,0.0727,2.108,105.547,27.244,0.0,0.033033,0
2025-08-05 21:00:00,A1,0.069,1.557,102.646,25.51,0.0,0.032849,0
2025-08-05 22:00:00,A1,0.0903,1.192,101.626,23.947,0.0,0.026729,0
2025-08-05 23:00:00,A1,0.0958,1.06,99.165,23.746,0.0,0.009527,0
2025-08-06 00:00:00,A1,0.0872,1.187,97.434,22.626,0.0,0.023045,0
2025-08-06 01:00:00,A1,0.0915,1.618,96.439,20.98,0.0,0.022254,0
2025-08-06 02:00:00,A1,0.1165,1.576,93.539,20.073,0.0,0.03396,0
2025-08-06 03:00:00,A1,0.1023,1.836,92.735,18.743,0.0,0.016367,0
2025-08-06 04:00:00,A1,0.1277,1.413,89.93,18.684,0.0,0.015244,0
2025-08-06 05:00:00,A1,0.1396,1.535,87.601,17.358,0.0,0.030133,0
2025-08-06 06:00:00,A1,0.1448,1.523,86.224,17.998,0.0,0.023483,0
2025-08-06 07:00:00,A1,0.1428,0.851,83.092,16.779,0.0,0.011877,0
2025-08-06 08:00:00,A1,0.1215,1.614,84.17,16.722,0.0,0.015115,0
2025-08-06 09:00:00,A1,0.1285,0.998,80.382,14.937,0.0,0.013819,0
2025-08-06 10:00:00,A1,0.1169,1.76,80.849,14.515,0.0,0.032899,0
2025-08-06 11:00:00,A1,0.1176,1.408,78.135,14.919,0.0,0.004103,0
2025-08-06 12:00:00,A1,0.1003,1.529,77.374,14.204,0.0,0.005994,0
2025-08-06 13:00:00,A1,0.1068,1.579,74.781,13.888,0.0,0.030358,0
2025-08-06 14:00:00,A1,0.1171,0.87,73.678,11.829,0.0,0.017541,0
2025-08-06 15:00:00,A1,0.1036,0.917,71.481,12.603,0.0,0.005733,0
2025-08-06 16:00:00,A1,0.0783,1.482,72.335,11.7,0.0,0.013833,0
2025-08-06 17:00:00,A1,0.0879,0.994,68.988,11.914,0.0,0.028834,0
